user_id,first_seen_date,prior_purchase_count
u0001,2026-07-20,0
u0002,2026-06-11,5
u0003,2026-06-27,0
u0004,2026-06-24,0
u0005,2026-06-16,5
u0006,2026-07-14,0
u0007,2026-07-17,1
u0008,2026-06-12,0
u0009,2026-06-15,0
u0010,2026-06-24,2
u0011,2026-07-18,0
u0012,2026-07-15,0
u0013,2026-07-14,1
u0014,2026-06-24,1
u0015,2026-07-17,0
u0016,2026-06-10,0
u0017,2026-07-07,0
u0018,2026-06-27,0
u0019,2026-06-23,0
u0020,2026-06-16,0
u0021,2026-07-04,0
u0022,2026-07-02,0
u0023,2026-07-18,0
u0024,2026-06-12,5
u0025,2026-07-09,2
u0026,2026-06-17,1
u0027,2026-06-15,2
u0028,2026-06-28,5
u0029,2026-07-19,0
u0030,2026-07-16,0
u0031,2026-06-14,0
u0032,2026-06-24,0
u0033,2026-06-15,0
u0034,2026-06-16,1
u0035,2026-06-27,1
u0036,2026-07-20,0
u0037,2026-06-20,0
u0038,2026-07-02,0
u0039,2026-06-27,5
u0040,2026-06-14,2
u0041,2026-07-20,0
u0042,2026-07-14,5
u0043,2026-06-25,0
u0044,2026-07-09,1
u0045,2026-06-27,5
u0046,2026-07-15,0
u0047,2026-06-30,0
u0048,2026-06-24,0
u0049,2026-06-30,1
u0050,2026-06-27,0
u0051,2026-06-23,2
u0052,2026-06-30,0
u0053,2026-07-11,1
u0054,2026-07-09,0
u0055,2026-06-26,0
u0056,2026-06-25,5
u0057,2026-07-15,2
u0058,2026-06-26,5
u0059,2026-07-17,1
u0060,2026-07-17,1
u0061,2026-07-03,0
u0062,2026-06-18,2
u0063,2026-07-11,0
u0064,2026-06-13,0
u0065,2026-06-19,5
u0066,2026-06-20,5
u0067,2026-07-07,2
u0068,2026-06-14,1
u0069,2026-07-04,2
u0070,2026-07-09,2
u0071,2026-06-26,2
u0072,2026-06-10,5
u0073,2026-06-17,5
u0074,2026-07-14,0
u0075,2026-07-01,0
u0076,2026-06-28,1
u0077,2026-06-20,1
u0078,2026-06-10,5
u0079,2026-06-26,2
u0080,2026-06-21,2
u0081,2026-06-16,5
u0082,2026-06-29,5
u0083,2026-07-12,2
u0084,2026-06-22,0
u0085,2026-07-03,0
u0086,2026-07-14,2
u0087,2026-06-10,2
u0088,2026-06-30,1
u0089,2026-06-11,0
u0090,2026-07-03,0
u0091,2026-06-25,0
u0092,2026-06-25,2
u0093,2026-06-15,0
u0094,2026-07-11,0
u0095,2026-07-14,0
u0096,2026-06-18,5
u0097,2026-07-10,2
u0098,2026-06-20,0
u0099,2026-07-13,2
u0100,2026-07-07,0
u0101,2026-07-14,5
u0102,2026-06-22,5
u0103,2026-06-29,1
u0104,2026-07-03,1
u0105,2026-07-13,1
u0106,2026-06-17,0
u0107,2026-06-24,0
u0108,2026-07-01,0
u0109,2026-07-17,2
u0110,2026-06-24,2
u0111,2026-06-24,0
u0112,2026-06-14,5
u0113,2026-07-20,0
u0114,2026-06-24,0
u0115,2026-06-12,0
u0116,2026-06-14,2
u0117,2026-06-25,0
u0118,2026-07-11,0
u0119,2026-07-14,0
u0120,2026-07-16,2
u0121,2026-07-10,0
u0122,2026-07-10,1
u0123,2026-06-22,0
